creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Carlo De Servi,Lucca; Roma,Escola de Belas Artes de Lucca; estudos em Roma com Alfredo Norfini,,https://pt.wikipedia.org/wiki/Carlo_De_Servi | https://www.catalogodasartes.com.br/artista/Carlo%20de%20Servi/,https://pt.wikipedia.org/wiki/Carlo_De_Servi | https://www.catalogodasartes.com.br/artista/Carlo%20de%20Servi/,,,alta
Édouard Viénot,Paris,École des Beaux-Arts; discípulo de Louis Hersent e Paulin Guérin,ingresso em 4 out. 1822,https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not | https://artsandculture.google.com/entity/%C3%89douard-vi%C3%A9not/m05c3q8,https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not | https://artsandculture.google.com/entity/%C3%89douard-vi%C3%A9not/m05c3q8,https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not | https://artsandculture.google.com/entity/%C3%89douard-vi%C3%A9not/m05c3q8,,alta
Franco Sá Boris,Belo Horizonte,Escola Guignard,,https://enciclopedia.itaucultural.org.br/,https://enciclopedia.itaucultural.org.br/,,Registro institucional prudente.,baixa
Edmond Viancin,França,formação artística francesa; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/,,,Dados abertos insuficientes para instituição específica.,baixa
Maximiliano Scholze,Alemanha,formação acadêmica alemã; instituição não identificada na fonte aberta consultada,,https://www.wikidata.org/wiki/Q116444293,https://www.wikidata.org/wiki/Q116444293,,"Registro conservador com fonte aberta estruturada, sem detalhe cronológico suficiente.",baixa
Aurélio Zimmermann,Berlim; Dresden,Escola de Belas Artes de Berlim; Escola de Belas Artes de Dresden,,https://pt.wikipedia.org/wiki/Aur%C3%A9lio_Zimmermann,https://pt.wikipedia.org/wiki/Aur%C3%A9lio_Zimmermann,,,alta
Campos Ayres,Avaré; Paris,formação autodidata inicial; Pensionato Artístico do Estado de São Paulo; Académie Julian,até 1909; 1909-1910,https://www.ufrgs.br/acervopbsa/autor_/campos-ayres-diogenes/ | https://pt.wikipedia.org/wiki/Campos_Ayres,https://www.ufrgs.br/acervopbsa/autor_/campos-ayres-diogenes/ | https://pt.wikipedia.org/wiki/Campos_Ayres,https://www.ufrgs.br/acervopbsa/autor_/campos-ayres-diogenes/ | https://pt.wikipedia.org/wiki/Campos_Ayres,"As fontes também citam aulas com Henry Royer, Robert Fleury/Tony Robert-Fleury e Jean-Paul Laurens em Paris.",alta
Graciliano Vicente Xavier,São Paulo,Liceu de Artes e Ofícios de São Paulo; aperfeiçoamento com Almeida Júnior,sem datas exatas na fonte,https://pt.wikipedia.org/wiki/Graciliano_Vicente_Xavier,https://pt.wikipedia.org/wiki/Graciliano_Vicente_Xavier,https://pt.wikipedia.org/wiki/Graciliano_Vicente_Xavier,A fonte disponível informa que foi discípulo de Jules Martin no Liceu de Artes e Ofícios de São Paulo e que depois se aperfeiçoou com Almeida Júnior.,alta
José Maria da Silva Paranhos,Rio de Janeiro,"Academia Real dos Guardas Marinhas; Real Academia de Artilharia, Fortificação e Desenho; Escola Militar",1841; formatura em 1843,https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_da_Silva_Paranhos,https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_da_Silva_Paranhos,https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_da_Silva_Paranhos,O creator corresponde ao Visconde do Rio Branco; a fonte aberta documenta a formação militar e de engenharia.,alta
Bernhard Wiegandt,Munique,Academia de Belas Artes de Munique,1880,https://pt.wikipedia.org/wiki/Bernhard_Wiegandt | https://www.brasilianaiconografica.art.br/autores/19894/bernhard-wiegandt,https://pt.wikipedia.org/wiki/Bernhard_Wiegandt,https://pt.wikipedia.org/wiki/Bernhard_Wiegandt,A página também menciona aulas com Julius von Benczúr e Ludwig von Löfftz.,alta
José Joaquim Monteiro França,Rio de Janeiro,Academia Imperial de Belas Artes (Aiba),,https://enciclopedia.itaucultural.org.br/,https://enciclopedia.itaucultural.org.br/,,Sem cronologia detalhada na fonte aberta localizada.,baixa
Hugo Calgan,França,formação artística francesa; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/,,,Insuficiência de fonte aberta detalhada.,baixa
Fernandes Machado,Rio de Janeiro; Paris,Escola Nacional de Belas Artes (Enba); Académie Julien,1889; após 1901,https://pt.wikipedia.org/wiki/Fernandes_Machado | https://enciclopedia.itaucultural.org.br/pessoas/6826-fernandes-machado,https://pt.wikipedia.org/wiki/Fernandes_Machado | https://www.escritoriodearte.com/artista/fernandes-machado,https://pt.wikipedia.org/wiki/Fernandes_Machado | https://enciclopedia.itaucultural.org.br/pessoas/6826-fernandes-machado,"As fontes abertas também nomeiam José Maria de Medeiros, Pedro Weingärtner, Modesto Broccos, Rodolfo Amoedo e Henrique Bernardelli como mestres.",alta
Jules Ballá,Paris,ateliê e prática artística francesa; instituição não identificada com clareza em fonte aberta,,https://www.brasilianaiconografica.art.br/,,,Mantido em formulação prudente por falta de detalhe aberto.,baixa
Salvador Escolá Arimany,Barcelona; Roma,Academia de Belas Artes de Barcelona,antes de 1876; ida posterior a Roma para completar a formação,https://pt.wikipedia.org/wiki/Salvador_Escol%C3%A1_Arimany | https://www.salvadorescola.org/,https://pt.wikipedia.org/wiki/Salvador_Escol%C3%A1_Arimany | https://www.salvadorescola.org/,https://pt.wikipedia.org/wiki/Salvador_Escol%C3%A1_Arimany | https://www.salvadorescola.org/,"A escola de Barcelona é nomeada; a etapa romana aparece como complemento de formação, sem academia identificada na fonte aberta.",media
Louis Guédy,Paris,École des Beaux-Arts de Paris,antes de 1877,https://pt.wikipedia.org/wiki/Louis_Gu%C3%A9dy | https://www.musee-orsay.fr/en/ressources/artists-personalities-catalog/louis-guedy-14357,https://pt.wikipedia.org/wiki/Louis_Gu%C3%A9dy,https://pt.wikipedia.org/wiki/Louis_Gu%C3%A9dy,A fonte aberta também informa que foi aluno de Adolphe Yvon.,alta
Gaspar Falco,Itália,formação italiana; instituição não identificada na fonte aberta consultada,,https://www.catalogodasartes.com.br/,,,Dados abertos insuficientes para nomear escola.,baixa
Franco Sá Luís,Belo Horizonte,Escola Guignard,,https://enciclopedia.itaucultural.org.br/,https://enciclopedia.itaucultural.org.br/,,Registro institucional prudente.,baixa
Ferdinand Piereck,Alemanha,formação artística alemã; instituição não identificada na fonte aberta consultada,,https://www.wikidata.org/wiki/Q42848766,https://www.wikidata.org/wiki/Q42848766,,Registro conservador por ausência de cronologia formativa aberta suficiente.,baixa
Oreste Sercelli,Florença,Escola Profissional de Artes Industriais e Decorativas de Florença,,https://pt.wikipedia.org/wiki/Oreste_Sercelli,https://pt.wikipedia.org/wiki/Oreste_Sercelli,,A fonte também o descreve como professor de artes decorativas ao chegar ao Brasil.,alta
Jorge Manuel Theocupulus,Toledo,oficina/ateliê de El Greco,até 1614,https://en.wikipedia.org/wiki/Jorge_Manuel_Theotoc%C3%B3puli | https://www.museodelprado.es/en/coleccion/autores?search=Theotoc%C3%B3puli%2C+Jorge+Manuel,https://en.wikipedia.org/wiki/Jorge_Manuel_Theotoc%C3%B3puli | https://www.museodelprado.es/en/coleccion/autores?search=Theotoc%C3%B3puli%2C+Jorge+Manuel,https://en.wikipedia.org/wiki/Jorge_Manuel_Theotoc%C3%B3puli,O creator está grafado como 'Theocupulus'; as fontes biográficas abertas usam 'Theotocópuli'.,media
Georges Corbisier,Bélgica,formação artística belga; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/,,,Fonte aberta insuficiente para nomear escola formal.,baixa
Alberto Lima,Brasil,formação artística brasileira; instituição não identificada na fonte aberta consultada,,https://enciclopedia.itaucultural.org.br/,,,Nome amplo e fontes abertas insuficientes nesta rodada.,baixa
M. Sá,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Roberto Mertig,Brasil,formação artística brasileira; instituição não identificada na fonte aberta consultada,,https://www.catalogodasartes.com.br/,,,Sem base aberta detalhada suficiente.,baixa
António Carneiro,Porto; Paris,Academia Portuense de Belas-Artes; Académie Julian,ingresso em 1884; estudos em Paris a partir de 1897,https://amarantetourism.com/poi/antonio-carneiro/ | https://www.infopedia.pt/artigos/%24antonio-carneiro | https://pt.wikipedia.org/wiki/Ant%C3%B3nio_Carneiro,https://amarantetourism.com/poi/antonio-carneiro/ | https://www.infopedia.pt/artigos/%24antonio-carneiro,https://amarantetourism.com/poi/antonio-carneiro/ | https://pt.wikipedia.org/wiki/Ant%C3%B3nio_Carneiro,A Infopédia menciona ainda Soares dos Reis e Marques de Oliveira como mestres na academia do Porto.,alta
António Carvalho de Silva Porto,Porto; Paris,Academia Portuense de Belas Artes; École des Beaux-Arts de Paris,matrícula em 1865; 1873 em diante,https://pt.wikipedia.org/wiki/Ant%C3%B3nio_da_Silva_Porto | https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20ant%C3%B3nio%20silva%20porto,https://pt.wikipedia.org/wiki/Ant%C3%B3nio_da_Silva_Porto | https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20ant%C3%B3nio%20silva%20porto,https://pt.wikipedia.org/wiki/Ant%C3%B3nio_da_Silva_Porto,As fontes citam aulas com Adolphe Yvon e Alexandre Cabanel em Paris.,alta
http://www.wikidata.org/.well-known/genid/cada7d1e5915ebd50cba2d437d575695,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
Arnaud Pallière,Paris,estudos de retrato e pintura histórica em Paris,1805,https://pt.wikipedia.org/wiki/Arnaud_Palli%C3%A8re,https://pt.wikipedia.org/wiki/Arnaud_Palli%C3%A8re,https://pt.wikipedia.org/wiki/Arnaud_Palli%C3%A8re,"A fonte informa a cidade e a área de estudo, mas não nomeia instituição específica.",baixa
Friedrich Salathé,Suíça; Paris,formação em gravura suíça; aperfeiçoamento em Paris,,https://de.wikipedia.org/wiki/Friedrich_Salath%C3%A9,https://de.wikipedia.org/wiki/Friedrich_Salath%C3%A9,,A fonte aberta não detalha com precisão instituições formais específicas.,media
Jean-Frédéric Bosset de Luze,Suíça,formação militar e de desenho técnico suíço,,https://www.brasilianaiconografica.art.br/autores/19859/jean-frederic-bosset-de-luze,https://www.brasilianaiconografica.art.br/autores/19859/jean-frederic-bosset-de-luze,,Autor identificado sobretudo por perfil militar-viajante; sem escola formal nomeada na fonte aberta consultada.,baixa
Friedrich Dürck,Leipzig; Munique,Leipzig Art Academy; Munich Academy,1822 em diante; ingresso na academia de Munique dois anos depois,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrck,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrck,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrck,A formação posterior em Munique ocorreu sob direção e apoio do tio Joseph Stieler.,alta
Thomas Lyde Hornbrook,Inglaterra,formação militar britânica e prática de desenho topográfico,,https://www.brasilianaiconografica.art.br/autores/20146/thomas-lyde-hornbrook,https://www.brasilianaiconografica.art.br/autores/20146/thomas-lyde-hornbrook,,A fonte aberta consultada não nomeia instituição específica.,baixa
http://www.wikidata.org/.well-known/genid/f281880a5bbd14086319e28902b3ff56,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/5e2ba733a56971d68646fef0d3417ce0,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/3ecf3f839b8a8d5391013d4e1e7a161e,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/6a95033c05c3fd2316b022d2a319d8cc,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
Jules Marie Vincent de Sinety,"Angoulême, França",escola da Marinha de Angoulême,1827,https://www.brasilianaiconografica.art.br/artigos/23686/0,https://www.brasilianaiconografica.art.br/artigos/23686/0,https://www.brasilianaiconografica.art.br/artigos/23686/0,A fonte ressalta que se trata de oficial da Marinha e artista amador; registrei apenas a formação documentada.,alta
Samuel Walters,Liverpool,Liverpool Academy; formação inicial com o pai Miles Walters,,https://www.askart.com/bio/Samuel_Walters/9000406/Samuel_Walters | https://en.wikipedia.org/wiki/Samuel_Walters_%28artist%29,https://www.askart.com/bio/Samuel_Walters/9000406/Samuel_Walters | https://en.wikipedia.org/wiki/Samuel_Walters_%28artist%29,,A Wikipedia também o descreve como amplamente autodidata após ensino paterno.,media
Albert Eckhout,Países Baixos,formação em pintura com Gheert Roeleffs (tio),antes de 1636,https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/ | https://www.guiadasartes.com.br/albert-van-der-eckhout/principais-obras,https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/ | https://www.guiadasartes.com.br/albert-van-der-eckhout/principais-obras,https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/,As fontes recuperadas não nomeiam uma academia formal; a formação aparece como aprendizado com o tio pintor.,media
G. Le Barbier,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Benno Treidler,Berlim,Academia de Belas Artes de Berlim,1875-1880,https://enciclopedia.itaucultural.org.br/pessoas/6622-benno-treidler,https://enciclopedia.itaucultural.org.br/pessoas/6622-benno-treidler,https://enciclopedia.itaucultural.org.br/pessoas/6622-benno-treidler,A fonte aberta também cita Christian Wilberg e Lechner como mestres.,alta
Franz Keller-Leuzinger,Karlsruhe,Lyceum de Karlsruhe; Polytechnische Schule de Karlsruhe,a partir de 1841; sem data final exata,https://www.deutsche-biographie.de/116125632.html?language=en,https://www.deutsche-biographie.de/116125632.html?language=en,https://www.deutsche-biographie.de/116125632.html?language=en,A referência biográfica registra a mudança da família para Karlsruhe e o estudo posterior no liceu e na escola politécnica.,alta
http://www.wikidata.org/.well-known/genid/6335dcc3df47be4077af904713ed7e55,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/38b69678ad71e36b7286e4a02c20afbb,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
Victor Barrat,França,formação artística francesa; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/,,,Registro prudente por carência de detalhe aberto.,baixa
O. Brieu,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Karl Robert von Planitz,"Dresden, Alemanha",Akademie der Bildenden Künste Dresden,1920s,https://de.wikipedia.org/wiki/Karl_Robert_Planitz,https://de.wikipedia.org/wiki/Karl_Robert_Planitz,https://de.wikipedia.org/wiki/Karl_Robert_Planitz,datas aproximadas,media
http://www.wikidata.org/.well-known/genid/080220935f16db9e227a858c790d7148,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
Friedrich Hagedorn,Munique,Academia de Belas Artes de Munique,,https://pt.wikipedia.org/wiki/Friedrich_Hagedorn,https://pt.wikipedia.org/wiki/Friedrich_Hagedorn,,"A página recuperada informa a alma mater, mas não traz cronologia detalhada.",media
Willem Roelofs,Haia,Academy for Visual Arts; ateliê de Hendrik van de Sande Bakhuyzen,a partir de 1839,https://en.wikipedia.org/wiki/Willem_Roelofs | https://alazraki.com/artworks/artists/roelofs-willem/,https://en.wikipedia.org/wiki/Willem_Roelofs | https://alazraki.com/artworks/artists/roelofs-willem/,https://en.wikipedia.org/wiki/Willem_Roelofs,A fonte também registra aulas anteriores com Abraham Hendrik Winter.,alta
Sydenham Edwards,Grã-Bretanha,estudos de ilustração botânica com William Curtis,antes de 1787,https://artcollection.dcms.gov.uk/person/edwards-sydenham-teast/ | https://en.wikipedia.org/wiki/Sydenham_Edwards,https://artcollection.dcms.gov.uk/person/edwards-sydenham-teast/ | https://en.wikipedia.org/wiki/Sydenham_Edwards,https://en.wikipedia.org/wiki/Sydenham_Edwards,"As fontes descrevem formação com William Curtis, sem instituição formal nomeada.",media
http://www.wikidata.org/.well-known/genid/d5fb4227dbd1b24e1e6df597a39f4f7d,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/97762c7190b051f41679a6c313ef4270,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/37bbd2c346d3f312564edfdd8238b913,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
William Gore Ouseley,"Trinity College, Dublin",Trinity College Dublin,,https://en.wikipedia.org/wiki/William_Gore_Ouseley,https://en.wikipedia.org/wiki/William_Gore_Ouseley,,"A fonte aberta documenta formação universitária, não artística.",alta
Joseph Tully,Irlanda; Inglaterra,formação militar e prática de desenho topográfico,,https://www.brasilianaiconografica.art.br/autores/20161/joseph-tully,https://www.brasilianaiconografica.art.br/autores/20161/joseph-tully,,Sem escola formal identificada na fonte aberta consultada.,baixa
http://www.wikidata.org/.well-known/genid/c2e5ddcb7e9dcc869ba864ddb88ea1e6,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/6a07d49cbbd510fbcab9deb1c459dca4,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/7886fe43301edbf876fccbd8fc042f04,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/57b60546bbb2d883044a08e25647f776,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/72abd18d49b091ca9ea910e4ec1f9dd4,,,,,,,identificador técnico/genid do Wikidata; autoria não desambiguada,
http://www.wikidata.org/.well-known/genid/ec6fa71bf29bffc86142f69c0a55b9a1,,,,,,,,
Hippolyte Vanderburch,Paris,formação literária e teatral em Paris,,https://fr.wikipedia.org/wiki/Hippolyte_Vanderburch,https://fr.wikipedia.org/wiki/Hippolyte_Vanderburch,,Não localizei instituição formal específica; mantida formulação conservadora.,baixa
Joaquim Cândido Guilhobel,Rio de Janeiro,Academia Imperial de Belas Artes,matrícula em 1827,https://pt.wikipedia.org/wiki/Joaquim_C%C3%A2ndido_Guilhobel | https://eviterbo.fcsh.unl.pt/wiki/Joaquim_C%C3%A2ndido_Guilhobel,https://pt.wikipedia.org/wiki/Joaquim_C%C3%A2ndido_Guilhobel,https://pt.wikipedia.org/wiki/Joaquim_C%C3%A2ndido_Guilhobel,"Na Academia, fez o curso de arquitetura com Grandjean de Montigny.",alta
http://www.wikidata.org/.well-known/genid/e06b9e31fc13c8a6a32072e0c3d784a5,,,,,,,,
Jean Joseph Bilfeldt,França,formação militar francesa,,https://www.brasilianaiconografica.art.br/autores/19939/jean-joseph-bilfeldt,https://www.brasilianaiconografica.art.br/autores/19939/jean-joseph-bilfeldt,,Autor identificado sobretudo como militar e desenhista viajante; sem escola nomeada na fonte aberta consultada.,baixa
Franz Josef Frühbeck,Viena,Akademie der bildenden Künste Wien,,https://www.wikidata.org/wiki/Q20956326,https://www.wikidata.org/wiki/Q20956326,,Registro conservador com base em fonte aberta estruturada; cronologia não localizada nesta rodada.,baixa
http://www.wikidata.org/.well-known/genid/d254eddd80214be29b8afc46377c1687,,,,,,,,
Gabriel Duperré,Paris,École des Beaux-Arts de Paris,,https://data.bnf.fr/fr/14968232/gabriel_duperre/,https://data.bnf.fr/fr/14968232/gabriel_duperre/,,A identificação formativa foi mantida de forma prudente por escassez de cronologia aberta.,media
Georges Capgras,França,formação artística francesa; instituição não identificada na fonte aberta consultada,,https://www.brasilianaiconografica.art.br/autores/19923/georges-capgras,https://www.brasilianaiconografica.art.br/autores/19923/georges-capgras,,"A fonte aberta identifica o autor, mas não detalha escola formal.",baixa
Carl Friedrich Philipp von Martius,Erlangen; Baviera,Friedrich-Alexander-Universität Erlangen; Royal Bavarian Academy,doutorado em medicina antes de 1814; 1814-1817,https://arquivo.acad-ciencias.pt/details?detailsType=Authority&id=20910 | https://www.britannica.com/biography/Karl-Friedrich-Philipp-von-Martius,https://arquivo.acad-ciencias.pt/details?detailsType=Authority&id=20910 | https://www.britannica.com/biography/Karl-Friedrich-Philipp-von-Martius,https://www.britannica.com/biography/Karl-Friedrich-Philipp-von-Martius | https://arquivo.acad-ciencias.pt/details?detailsType=Authority&id=20910,Creator tratado como botânico/ilustrador-viajante; dados de formação acadêmica são bem documentados.,alta
http://www.wikidata.org/.well-known/genid/a1e3d5f53e56541708bb80e9f6d47c4c,,,,,,,,
http://www.wikidata.org/.well-known/genid/db29de7201b1ec3d53c4b4b780d17c8e,,,,,,,,
http://www.wikidata.org/.well-known/genid/30a2a2c996e6b42b86d8a47707928d22,,,,,,,,
http://www.wikidata.org/.well-known/genid/f279e99cac2bf078a45276effd823382,,,,,,,,
http://www.wikidata.org/.well-known/genid/94f57d28737fd87a283b06a307b495a3,,,,,,,,
http://www.wikidata.org/.well-known/genid/1223087b179f3d6a503ab888a12d9f34,,,,,,,,
http://www.wikidata.org/.well-known/genid/4e9a1218e9917058c51a0e073355dada,,,,,,,,
http://www.wikidata.org/.well-known/genid/fee76c1d16676bc974327aab64ea381f,,,,,,,,
Benjamin Mary,Bélgica,"treinamento desde a infância com um tio, incluindo fundamentos de desenho e gravura",,https://www.brasilianaiconografica.org.br/artigos/20213/o-diplomata-e-desenhista-benjamin-mary | https://pt.wikipedia.org/wiki/Benjamin_Mary,https://www.brasilianaiconografica.org.br/artigos/20213/o-diplomata-e-desenhista-benjamin-mary,,"A fonte disponível descreve formação inicial familiar, sem escola formal nomeada.",media
Germano Wahnschaffe,Alemanha,formação alemã em história natural e desenho científico,,https://pt.wikipedia.org/wiki/Germano_Wahnschaffe,https://pt.wikipedia.org/wiki/Germano_Wahnschaffe,,A fonte aberta biográfica enfatiza carreira científica; instituição específica não foi detalhada nesta rodada.,baixa
http://www.wikidata.org/.well-known/genid/daffcfc7ad3f75e9d8990e408f6fc871,,,,,,,,
http://www.wikidata.org/.well-known/genid/4971671386509e52e2cb8820e0a4274c,,,,,,,,
http://www.wikidata.org/.well-known/genid/289ac352ef9f08fd51ed6eac0156478c,,,,,,,,
http://www.wikidata.org/.well-known/genid/0487d4be4787264e0d5746b5ea4966fc,,,,,,,,
http://www.wikidata.org/.well-known/genid/d1614964f9f70100b19030f1b3c7eb9a,,,,,,,,
http://www.wikidata.org/.well-known/genid/c364d7bac0cae81c83a1cc1cab25995b,,,,,,,,
http://www.wikidata.org/.well-known/genid/3b20da0a826204e9843bec8f42999d5f,,,,,,,,
Maria Luiza Pompeu,Campinas,estudos com Alfredo Norfini,,https://pt.wikipedia.org/wiki/Maria_Luiza_Pompeu,https://pt.wikipedia.org/wiki/Maria_Luiza_Pompeu,,"A fonte recuperada registra o mestre, não uma escola formal.",media
André Figurey,Lyon; Paris,École des Beaux-Arts de Lyon; ateliês de gravura em Paris,,https://fr.wikipedia.org/wiki/Andr%C3%A9_Figurey,https://fr.wikipedia.org/wiki/Andr%C3%A9_Figurey,,Formação reconstruída a partir de fontes biográficas abertas francesas.,media
I. de Sampaio Mathissen,,,,,,,,
Alípio Dutra,Piracicaba; Paris; Bruxelas,Escola Complementar de Piracicaba; Academia Julian; Real Academia de Belas Artes de Bruxelas; Escola Nacional de Belas Artes de Paris,formação concluída em 1909; 1913-1914; 1918; 1921-1923,https://pt.wikipedia.org/wiki/Al%C3%ADpio_Dutra | https://enciclopedia.itaucultural.org.br/pessoas/6462-alipio-dutra,https://pt.wikipedia.org/wiki/Al%C3%ADpio_Dutra | https://enciclopedia.itaucultural.org.br/pessoas/6462-alipio-dutra,https://pt.wikipedia.org/wiki/Al%C3%ADpio_Dutra | https://enciclopedia.itaucultural.org.br/pessoas/6462-alipio-dutra,A cronologia europeia é particularmente clara nas fontes consultadas.,alta
F. Mallio,,,,,,,,
J. Stewart,,,,,,,,
José Hertzer,Brasil,formação artística brasileira; instituição não identificada na fonte aberta consultada,,https://www.catalogodasartes.com.br/,,,Não localizei nesta rodada fonte aberta robusta com nome oficial de escola.,baixa
Mac Dougall,,,,,,,,
Pedro Galbiati,Brasil; Itália,formação escultórica ítalo-brasileira; instituição não identificada na fonte aberta consultada,,https://www.catalogodasartes.com.br/artista/Pedro%20Galbiati/,https://www.catalogodasartes.com.br/artista/Pedro%20Galbiati/,,A fonte disponível é insuficiente para nomear escola específica; registro mantido cauteloso.,baixa
Juarez Silveira,São Paulo,Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo (FAU-USP),,https://enciclopedia.itaucultural.org.br/pessoa24332/juarez-silveira,https://enciclopedia.itaucultural.org.br/pessoa24332/juarez-silveira,,A formação acadêmica aberta consultada é em arquitetura.,media
Jonas de Barros,São Paulo,Academia de Belas Artes; estudos com Almeida Júnior,,https://pt.wikipedia.org/wiki/Jonas_de_Barros | https://artsandculture.google.com/entity/jonas-de-barros/m07k7zzr,https://pt.wikipedia.org/wiki/Jonas_de_Barros | https://artsandculture.google.com/entity/jonas-de-barros/m07k7zzr,,A fonte aberta disponível não detalha cronologia fina.,media
Joaquim da Rocha Ferreira,São Paulo; Rio de Janeiro; Ravena,"Liceu de Artes e Ofícios; Escola Nacional de Belas Artes; curso de aperfeiçoamento em mosaico, em Ravena",sem datas exatas na fonte; curso de aperfeiçoamento posterior,https://pt.wikipedia.org/wiki/Joaquim_da_Rocha_Ferreira | https://www.catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Ferreira/,https://pt.wikipedia.org/wiki/Joaquim_da_Rocha_Ferreira | https://www.catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Ferreira/,https://www.catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Ferreira/,As fontes convergem em Liceu de Artes e Ofícios e Enba; o Catálogo das Artes acrescenta curso de aperfeiçoamento em mosaico em Ravena.,alta
Eurico de Vio,Veneza,Academia de Belas Artes de Veneza,,https://pt.wikipedia.org/wiki/Enrico_Vio | https://www.oexplorador.com.br/enrico-vio-pintor-participa-de-exposicoes-em-milao-turim-e-da-grande-mostra-de-artes-de-veneza/,https://pt.wikipedia.org/wiki/Enrico_Vio | https://www.oexplorador.com.br/enrico-vio-pintor-participa-de-exposicoes-em-milao-turim-e-da-grande-mostra-de-artes-de-veneza/,,"O creator está grafado como 'Eurico de Vio', mas as fontes abertas biográficas consultadas usam 'Enrico Vio'.",media
Oswaldo Teixeira,Rio de Janeiro,Liceu de Artes e Ofícios do Rio de Janeiro; Escola Nacional de Belas Artes (Enba),,https://www.oswaldoteixeira.art.br/ | https://www.guiadasartes.com.br/oswaldo-teixeira-do-amaral/biografia,https://www.oswaldoteixeira.art.br/ | https://www.guiadasartes.com.br/oswaldo-teixeira-do-amaral/biografia,,"As fontes citam também os mestres Argemiro Cunha, Eurico Moreira Alves, Rodolfo Chambelland e Baptista da Costa.",alta
Pierre F. K.,,,,,,,,
Antonio Fernández Gómez,Brasil; Itália,formação no Brasil; lições com Karl Ernst Papf,a partir de 1894; Itália em 1901-1902,https://pt.wikipedia.org/wiki/Antonio_Fern%C3%A1ndez_G%C3%B3mez | https://palavracomum.com/antonio-fernandez-pintor-de-tres-mundos-brasil-italia-e-galiza/,https://pt.wikipedia.org/wiki/Antonio_Fern%C3%A1ndez_G%C3%B3mez,https://pt.wikipedia.org/wiki/Antonio_Fern%C3%A1ndez_G%C3%B3mez | https://palavracomum.com/antonio-fernandez-pintor-de-tres-mundos-brasil-italia-e-galiza/,As fontes não especificam instituição formal para a etapa brasileira.,media
