Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Maurício Chades,Brazil,Universidade de Brasília; School of the Art Institute of Chicago,,,,,male,https://www.mauriciochades.com/; https://www.premiopipa.com/mauricio-chades/,alta,,lote_29,,
Max Björverud,Sweden,,,,,,male,,,Fontes abertas consultadas não nomeiam instituição de ensino com segurança; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_29; lote_33,,
Max Cooper,United Kingdom,University of Nottingham,,Belfast,,,male,,,,,,
,,University College London,,,,,,,,,,,
Max Hilsamer,Germany,Universität der Künste Berlin; Parsons The New School for Design,,,,,male,https://archive.file.org.br/participantes/max-hilsamer/; https://screen-sharing.net/Max-Hilsamer,média,Duas fontes abertas convergem sobre estudos em Belas Artes/filme experimental em Berlim e Nova York.,lote_29,,
Max Porter,United States,Netherlands Institute for Animated Film | Rhode Island School of Design,,New York City,,,male,CV de Max Porter — Baker Artist Portfolio,alto,Currículo público informa residência de pós-graduação no Netherlands Institute for Animated Film e BFA em Film/Animation/Video na Rhode Island School of Design.,lote_29; lote_33,,
Max van der Ree,Kingdom of the Netherlands,HKU University of the Arts Utrecht; Utrecht University,,,,,male,https://ercsynergy-resilience.eu/max-van-der-ree/; https://archive.file.org.br/participantes/max-van-der-ree/,alta,,lote_29,,
Maxime Archambault,Canada,,,,,,,,,"Biografias consultadas descrevem atuação profissional, mas não nomeiam instituição de ensino com segurança; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_29; lote_33,,
Maya Puig,Germany,,,,,,female,,,"Fontes abertas localizadas mencionam mestres e trajetórias formativas não institucionais, sem escola nomeada com segurança. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_29; lote_33,,
Mehdi Aouichaoui,France,Supinfocom Rubika,,,,,male,https://rubika-edu.com/blog/mehdi-aouichaoui-diplome-2015-interviewe-par-allocine-pour-dragon-balsuper-broly/; https://www.allocine.fr/article/fichearticle_gen_carticle=18681154.html,alta,,lote_29,,
Meike Redeker,Germany,Braunschweig University of Art; Institut Teknologi Bandung,,,,,female,https://meikeredeker.info/About; https://www.goethe.de/ins/in/en/sta/ban/ueb/bar/red.html,alta,,lote_29,,
Mengjing Yang,,Supinfocom – RUBIKA,,,,,,FILE Festival,médio,"Biografia de grupo do FILE informa que a equipe se formou com louvor na Supinfocom – RUBIKA, em Valenciennes.",13,,
Mentalla Sayed,United Arab Emirates,American University of Sharjah,,,,,female,https://archive.file.org.br/participantes/mentalla-sayed/; https://www.middleeastarchitect.com/insight/tashkeel-presents-four-emerging-uae-based-designers,média,Fonte do FILE indica afiliação à American University of Sharjah; fonte setorial explicita graduação em design de interiores nessa instituição.,lote_29,,
Michael Grotenhoff,,,,,,,male,,,"Fontes abertas mencionam áreas de estudo, mas não nomeiam a instituição em que estudou; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_29; lote_33,,
Michael Lee,,,,,,,,,,"Homônimo não desambiguado com segurança; o FILE informa apenas “estudante de arquitetura”, sem instituição nomeada. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_29; lote_33,,
Michael Marczewski,United Kingdom,,,,,,male,,,"Biografias consultadas descrevem carreira profissional e passagem por estúdios, mas não nomeiam instituição de ensino. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada",lote_29; lote_33,,
Michael Trikosko,United States,Ringling College of Art and Design,,,,,male,https://zerply.com/MTrikosko; https://vimeo.com/175738725,média,Múltiplas fontes abertas associam o artista ao curso de Computer Animation na Ringling College of Art and Design.,lote_29,,
Michaela Čopíková,Slovakia,Academy of Performing Arts in Bratislava,,,,,female,https://archiv.anifilm.cz/2020/en/program/jury-programme/non-competitive-sections/jury-programme-michaela-copikova-ove-pictures/,média,A fonte informa que “About Socks and Love” foi seu filme de graduação na Academy of Performing Arts in Bratislava.,lote_29,,
Michaël Verlinden,,Ghent Royal Conservatory,,,,,male,https://ap-arts.be/en/person/michael-verlinden,alta,,lote_29,,
Mick Lorusso,United States,Colorado College | San Francisco Art Institute,,,,,male,UCLA Art | Sci Center + Lab,alto,Fonte institucional explicita BA pelo Colorado College e MFA pelo San Francisco Art Institute.,15,,
Mike Celona,,Syracuse University,,,,,male,https://mikecelona.net/bio-cv/; https://archive.file.org.br/participantes/mike-celona/,alta,,lote_29,,
Mike Gao (Musician),,University of Southern California; Stanford University; University of California San Diego,,,,,male,https://musicgrad.ucsd.edu/~mmgao/; https://asianamericanmusics17.wordpress.com/2017/05/01/mike-gao-ivory-tower-education-dtla-beats/,média,Formação compilada a partir de página do programa de pós-graduação da UCSD e fonte secundária detalhada; mantida com cautela.,lote_29,,
Mike Pelletier,Canada,Piet Zwart Institute,,,,,male,site oficial de Mike Pelletier | FILE Festival,alto,"Site oficial e biografia do FILE informam mestrado pelo Piet Zwart Institute, em Roterdã.",lote_33,,
Mike Rijnierse,Netherlands,"ArtScience Interfaculty | Royal Academy of Art, The Hague | Royal Conservatoire, The Hague",,,,,male,highlike — Mike Rijnierse,médio,"Biografia pública informa graduação na Interfaculty Image and Sound (atual ArtScience Interfaculty), vinculada à Royal Academy of Art e ao Royal Conservatoire de Haia.",lote_33,,
Mike von Rotz,Netherlands,Utrecht University of the Arts (HKU),,,,,male,FILE Festival — Mike von Rotz,alto,A biografia do FILE informa explicitamente que Mike von Rotz estudou Animação 3D na Utrecht University of the Arts (HKU).,lote_33,,
Mikkel Vedel,Kingdom of Denmark,The Animation Workshop,,,,,male,blog/showreel de Mikkel Vedel,médio,Página pessoal do artista o descreve explicitamente como estudante de animação da The Animation Workshop.,lote_33,,
Milan Zulic,Serbia,,,,,,male,,,Fontes abertas consultadas não nomeiam instituição de ensino com segurança; mantido em branco. | revisto no lote_33: sem instituição explicitamente nomeada em fonte confiável localizada,lote_33,,
Min Liu,,National Taiwan University | School of Visual Arts,,,,,,site oficial da artista | FILE Festival,médio,,4,,
Mirjam Weder,Switzerland,Universität Zürich | Universität Basel,,,,,female,Universität Basel — perfil de Mirjam Weder,alto,Perfil institucional informa estudos de Germanistik e Anglistik na Universität Zürich e doutorado na Universität Basel.,lote_33,,
Miro Soares,Brazil,École Supérieure d’Art de Grenoble | Université Paris 1 Panthéon-Sorbonne,,,,,male,perfil acadêmico de Miro Soares (UFES/Academia.edu),médio,Perfil acadêmico informa mestrado na École Supérieure d’Art de Grenoble e mestrado/doutorado na Université Paris 1 Panthéon-Sorbonne.,lote_33,,
Monica Manalo,United States,School of Visual Arts,,,,,female,currículo de Monica Manalo,alto,"Currículo público lista BFA em Computer Art, Animation, and Visual Effects pela School of Visual Arts.",lote_33,,
Mónica Rikić,Spain,University of Barcelona | Universitat Pompeu Fabra | Universitat Oberta de Catalunya,,Barcelona,,,female,FILE Festival,médio,"Biografia do FILE explicita bacharelado em Belas Artes (UB), mestrado em Artes Digitais (UPF) e mestrado em Filosofia Contemporânea (UOC).",15,,
,,Pompeu Fabra University,,,,,,,,,,,
,,Open University of Catalonia,,,,,,,,,,,
Morgane Stricot,France,École Supérieure d’Art d’Avignon | University of Maine,,,,,female,MAPS | BORN DIGITAL — Morgane Stricot,médio,Biografia pública informa MA em Conservation of Media and Digital Art na École Supérieure d’Art d’Avignon e fellowship no Still Water Lab da University of Maine.,lote_33,,
Murat Saygıner,Czech Republic,autodidata,,Prague,,,male,FILE Festival — Murat Saygıner,médio,Biografia do FILE descreve explicitamente Murat Saygıner como artista autodidata; campo preenchido conforme critério já adotado para registros explícitos.,lote_33,,
Muriel Montini,France,Paris VIII University,,,,,female,Szczecin Film Festival,médio,O FILE menciona apenas estudos em cinema; a biografia do festival europeu explicita Paris VIII University.,lote_34,,
Muriel Paraboni,Brazil,Universidade Federal de Santa Maria (UFSM) | Universidade do Vale do Rio dos Sinos (Unisinos) | Pontifícia Universidade Católica do Rio Grande do Sul (PUC-RS) | Escuela Internacional de Cine y TV (EICTV) | Universidade Federal do Rio Grande do Sul (UFRGS),,,,,male,brCRIS/IBICT,médio,"Perfil acadêmico agrega mestrado, graduação e especializações com instituições nomeadas.",lote_34,,
Mustashrik,England,Surrey Institute of Art & Design,,,,,male,IMDb,médio,Biografia informa graduação em Graphic Design and Communication with Applied Arts.,lote_34,,
Mélanie Courtinat,France,ECAL / École cantonale d'art de Lausanne,,,,,female,ECAL,alto,Página oficial da ECAL informa BA Media & Interaction Design.,lote_34,,
Mélanie Lopez,France,L'Atelier de Sèvres | Supinfocom Rubika School,,,,,female,FILE Festival,médio,"Biografia do FILE informa estudos na L'Atelier de Sèvres e na Supinfocom; a biografia de grupo explicita Supinfocom Rubika School, em Valenciennes, com mestrado em Direção Digital.",14; lote_34,,
Nada Al Dash,Jordan,International College of Cyprus,,,,,,site oficial da artista,médio,A fonte usa o nome Nada Nashashibi; o preenchimento foi feito por coincidência biográfica com Nada Al Dash.,lote_34,,
Naeem Murdic,United States,Pratt Institute,,,,,,site oficial do artista,médio,A biografia também o descreve como self-taught video editor; mantive apenas a instituição formal nomeada.,lote_34,,
Nahil Ali Memon,United States,,,,,,female,,,"Há afiliação à American University of Sharjah, mas a formação citada não explicita com segurança a instituição de estudo.",lote_34,,
Nata Metlukh,United States,Vancouver Film School | Estonian Academy of Arts,,,,,female,site oficial da artista,alto,Fontes coincidem em Vancouver Film School e Estonian Academy of Arts.,lote_34,,
Natalie Labarre,United States,School of Visual Arts,,,,,female,Mountainfilm / Hornet,médio,"Biografias convergem em formação na School of Visual Arts, em Manhattan.",lote_34,,
Nathalie Lawhead,United States,,,,,,non-binary,,,,lote_34,,
Nelton Pellenz,Brazil,Universidade Federal de Santa Maria (UFSM) | Universidade Luterana do Brasil (ULBRA) | Universidade Federal do Rio Grande do Sul (UFRGS),,,,,male,CV oficial do artista,médio,CV informa graduação na UFSM e pós-graduação pela ULBRA e UFRGS.,lote_34,,
Neryth Yamile Manrique Mendoza,Colombia,Universidad Industrial de Santander,,,,,female,FILE Festival,médio,A biografia do FILE explicita Engenharia de Sistemas e Escuela de Bellas Artes na Universidad Industrial de Santander.,lote_34,,
Nick Ladd,Canada,Dawson College | Sheridan College,,,,,male,ArtStation / Museum of Other Realities,médio,Fontes convergem em estudos em Montreal e Oakville.,lote_34,,
Nick Luchkiv,Russia,"Academy of Architecture and Arts, Southern Federal University",,,,,,FILE Festival,médio,A biografia do FILE explicita mestrado em Arquitetura e Design nessa instituição.,16; lote_34,,
Nicola Gastaldi,,,,,,,,,,,lote_34,,
Nicolas Fong,,École nationale supérieure des arts visuels de La Cambre,,,,,male,ALOA / Vimeo,médio,As fontes indicam estudos/escola em La Cambre.,lote_34,,
Nicolas Hermansen,Belgium,Università di Bologna | Institut del Teatre / Universitat Autònoma de Barcelona / Universitat Pompeu Fabra,,,,,male,In-Sonora,médio,Biografia informa licenciatura em estudos teatrais e mestrado em teoria e prática da dramaturgia.,lote_34,,
Nicolette Daskalakis,United States,"Institut supérieur des arts et du design de Toulouse | University of Southern California, School of Cinematic Arts | University of Southern California, Roski School of Art & Design",,,,,female,CV oficial da artista,alto,"CV oficial explicita MFA, BA e minor.",lote_34,,
Nicolás Alcalá,Spain,,,,,,male,,,"A biografia menciona graduação não concluída, mas sem instituição identificada.",lote_34,,
Nienke Deutz,Kingdom of the Netherlands,Maastricht Academy of Fine Arts | KASK / School of Arts,,,,,female,Animafest / Batavierhuis,médio,As duas fontes convergem em BA em Fine Arts e MA em Animation.,lote_34,,
Noha Eid,Egypt,Alexandria University,,,,,female,East-West Dialogue / Racotis Art,médio,"As fontes convergem na Alexandria University, mas divergem entre Arquitetura e Fine Arts.",lote_34,,
Nonnnon,United States,,,,,,male,,,,lote_34,,
Oliver Grau,Germany,Humboldt-Universität zu Berlin,,,,,male,ZKM,médio,"Fonte também menciona estudos em Hamburg, London e Siena; mantive o valor já existente na planilha.",lote_34,,
Or Kantor,Israel,autodidata,,,,,,site oficial do artista,alto,O próprio site o descreve como self-taught multidisciplinary artist.,lote_34,,
Osvaldo Cibils,Uruguay,,,,,,male,,,,lote_34,,
Pablo Bounous,Uruguay,,,,,,male,,,,lote_34,,
Pablo Gobira,Brazil,Universidade Federal de Minas Gerais,,,,,female,Escavador/Lattes,alto,"Lattes espelhado informa graduação, mestrado e doutorado na UFMG.",lote_34,,
Pablo-Martín Córdoba,Argentina,autodidata,,,,,male,PROYECTOR,médio,A fonte menciona experiência artística autodidata anterior a estudos posteriores sem instituição nomeada.,lote_34,,
Paris Mavroidis,United States,Brown University | Pratt Institute,,,,,,FILE Festival,médio,A biografia do FILE explicita bacharelado em Computer Science e mestrado em Digital Arts.,lote_34,,
Patakk,Croatia,"Faculty of Electrical Engineering and Computing, University of Zagreb | Universidad Politécnica de Madrid",,,,,male,galeria Ragnar Digital,médio,Biografia da galeria explicita dois mestrados na University of Zagreb e estudos em IA pela Universidad Politécnica de Madrid.,lote_35,,
Patricio Ballesteros Ledesma,Argentina,Universidad de Buenos Aires (UBA),,Buenos Aires,,,male,CV / Video Art World,alto,"O CV explicita licenciatura em Comunicação Social na UBA; cursos de cinema e vídeo aparecem, mas sem instituição adicional inequívoca além da UBA.",lote_35,,
Patricio Gonzalez Vivo,Argentina,Parsons The New School,,,,,male,site oficial do artista,alto,Fontes secundárias também repetem MFA em Design and Technology na Parsons; não identifiquei com segurança a instituição da formação em psicoterapia/terapia expressiva.,lote_35,,
Paula Perissinotto,Brazil,Fundação Armando Alvares Penteado (FAAP) | Escola de Comunicações e Artes da Universidade de São Paulo | MECAD / ESDI,,,,,female,Biblioteca Virtual da FAPESP,alto,"Fonte institucional explicita graduação em Artes Plásticas pela FAAP, mestrado em Poéticas Visuais pela ECA/USP e especialização em Curadoria e Práticas Culturais em Arte e Novas Mídias pelo MECAD / ESDI.",lote_35,,
Paulina Rutman,Chile,School of the Art Institute of Chicago | The Edit Center,,,,,female,FILE Festival,médio,Biografia do FILE explicita estudos nessas duas instituições.,lote_35,,
Pauline Le Bris,France,Supinfocom Valenciennes,,,,,female,portfólio / CV da artista,médio,"Página pessoal a descreve como estudante do 4º ano em realização digital na Supinfocom, em Valenciennes.",lote_35,,
Paulo Almeida,Portugal,Imperial College London,,,,,male,FILE Festival,médio,Biografia do FILE explicita doutorado em Ciências da Computação no Imperial College London; não localizei com segurança outras instituições de formação no trecho consultado.,lote_35,,
Pedro Ivo Carvalho,Brazil,The Animation Workshop,,,,,male,FILE Festival | blog pessoal,alto,As duas fontes convergem na graduação em Character Animation na escola dinamarquesa.,lote_35,,
Pedro Riva,Argentina,Universidad de Buenos Aires | University of Bergen | Kuvataideakatemia / University of the Arts Helsinki,,,,,male,NOBA,médio,Perfil NOBA explicita estudos de filosofia na UBA e estudos de Fine Art na University of Bergen e na Kuvataideakatemia.,lote_35,,
Pedro Veneroso,Brazil,Universidade Federal de Minas Gerais (UFMG),,,,,male,Lab|Front / currículo,alto,"Biografia curricular explicita bacharelado, mestrado e doutorado na UFMG.",lote_35,,
Pete Burkeet,United States,The University of Akron,,,,,male,site da artista | fellowship.xyz,médio,As fontes convergem na graduação em pintura em Akron; a instituição do MFA em painting and digital art não foi identificada com segurança.,lote_35,,
Peter Burr,United States,Carnegie Mellon University,,Brooklyn,,,male,CV do artista,alto,Currículo 2025 confirma Carnegie Mellon University (BFA 2002).,lote_35,,
Peter Whittenberger,United States,"University of Montana | University of Nevada, Reno",,,,,male,CV do artista,alto,CV explicita BFA em Printmaking e MFA em Interdisciplinary Art.,lote_35,,
Peter William Holden,Germany,,,,,,male,,,Biografia e CV consultados não explicitam instituição de ensino; apenas mencionam um arts foundation course sem nome da escola.,lote_35,,
Petros Vrellis,Greece,University of Patras | University of Ioannina,,,,,male,Saatchi Art,médio,Perfil explicita MEng em Electrical Engineering (University of Patras) e MA em Art Sciences (University of Ioannina).,lote_35,,
Philippe Lamy,France,École nationale supérieure des beaux-arts de Toulouse,,,,,male,site oficial do artista,alto,"Biografia própria menciona Diplôme National des Beaux-Arts, Toulouse.",lote_35,,
Pierre Chaumont,Canada,Université du Québec à Montréal (UQAM) | Campus ADN,,Libourne,,,male,CV do artista,alto,CV explicita bacharelado em Fine and Media Art na UQAM e formação em modelagem 3D no Campus ADN.,lote_35,,
,France,,,,,,,,,Registro sem nome na coluna principal; não foi possível realizar pesquisa segura.,lote_35,,
Pierre Depaz,France,Sorbonne Nouvelle-Paris 3,,,,,male,Cosyll / AI Fictions,médio,Fontes recentes também indicam IEP de Lille e NYU Tisch; mantive o preenchimento já existente e não ampliei o campo nesta rodada.,lote_35,,
Pierre-Jean Le Moël,France,,,,,,male,,,Não localizei instituição de estudo explicitada em fonte robusta aberta; apenas portfólios e créditos profissionais.,lote_35,,
Pieter Tjabbes,Netherlands,Leiden University,,,,,male,FILE Festival,médio,O FILE explicita mestrado em História da Arte pela University of Leiden.,lote_35,,
Przemek Wegrzyn,Poland,University of Wroclaw | Academy of Fine Arts in Wroclaw,,,,,male,FILE Festival,médio,Biografia do FILE e outras fontes convergem nas duas instituições em Wrocław.,lote_35,,
Quba Michalski,Poland,,,,,,male,,,"CV e perfis consultados descrevem trajetória profissional, mas não nomeiam instituição de ensino.",lote_35,,
Quentin Pointillart,,Supinfocom | BTS communication visuelle | Reims Management School | Tomas Bata University in Zlín,,,,,male,Zerply,médio,Perfil profissional lista as instituições; não obtive confirmação institucional independente.,lote_35,,
Raheed Allaf,United Arab Emirates,American University of Sharjah,,,,,female,site oficial da artista,alto,Biografia própria explicita estudos em Multimedia Design na American University of Sharjah.,lote_35,,
Raj Jeshang,Tanzania,Savannah College of Art and Design,,,,,male,The AOI | Graphic Days,médio,Fontes profissionais convergem que estudou animação clássica e cinema na SCAD.,lote_35,,
Raman Djafari,Germany,Hamburg University of Applied Sciences (HAW),,,,,male,FILE Festival,médio,Biografia do FILE explicita estudos de ilustração na HAW.,lote_35,,
Ramiro AMK Fernández,Argentina,,,,,,male,,,"Biografias consultadas descrevem atuação profissional, mas não nomeiam instituição de ensino.",lote_35,,
Raquel Fukuda,Brazil,Faculdade Santa Marcelina,,São Paulo,,,female,Escavador / Lattes,médio,Identifiquei com segurança a graduação em Artes Plásticas na Faculdade Santa Marcelina; as formações em Comunicação Social/Rádio-TV e pós em Animação aparecem sem instituição nomeada nas fontes abertas consultadas.,lote_35,,
Raquel Piantino,Brazil,Universidade de Brasília (UnB) | The University of Texas at Dallas,,Brasília,,,female,FILE Festival | UIVO Filmes,médio,O FILE explicita Artes Plásticas na UnB; site profissional informa mestrado em animação em curso na University of Texas at Dallas.,lote_35,,
Ravana,India,,,,,,male,,,Não localizei instituição de estudo explicitada em fontes robustas abertas consultadas.,lote_36,,
Raven Kwok,United States,Shanghai Institute of Visual Art | Rensselaer Polytechnic Institute,,,,,male,site oficial / CV do artista,alto,CV e biografia oficial explicitam graduação no Shanghai Institute of Visual Art e MFA no Rensselaer Polytechnic Institute.,lote_36,,
Ray Gropius,Italy,autodidata,,,,,,FILE Festival,médio,Biografia do FILE descreve Ray Gropius como estudioso autodidata.,lote_36,,
Rei Souza,Brazil,autodidata,,Bragança Paulista,,,male,FILE Festival,médio,Biografia do FILE descreve Rei Souza como autor autodidata.,lote_36,,
Rejane Cantoni,Brazil,Pontifícia Universidade Católica de São Paulo (PUC-SP) | University of Geneva | Universidade de São Paulo (USP),,São Paulo,,,female,Itaú Cultural | site oficial,alto,"Fonte institucional indica mestrado e doutorado na PUC-SP, mestrado na University of Geneva e pós-doutorado na USP.",lote_36,,
Rek,Canada,,,,,,female,,,Não localizei instituição de estudo explicitada para Rek / Rekka Bellum nas fontes abertas consultadas.,lote_36,,
Renzo Filinich,Chile,University of Chile | University of Valparaíso,,,,,male,site oficial do artista,médio,Biografia oficial explicita mestrado em Media Arts na University of Chile e doutorado na University of Valparaíso; graduação em Sound Engineering aparece sem instituição nomeada.,lote_36,,
René Bauer,Switzerland,University of Zurich,,,,,male,FILE Festival,médio,"Biografia do FILE explicita estudos em filologia alemã, estudos literários, biologia e linguística computacional na University of Zurich.",lote_36,,
Ricardo Barreto,Brazil,"Faculdade de Belas Artes de São Paulo | Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de São Paulo (FFLCH-USP)",,Rio de Janeiro,,,male,Enciclopédia Itaú Cultural,alto,Verbete institucional explicita formação em artes na Faculdade de Belas Artes de São Paulo e em filosofia na FFLCH-USP.,lote_36,,
Robert Wallace,,,,,,,,,,"Biografias consultadas descrevem trajetória profissional, mas não nomeiam instituição de estudo.",lote_36,,
Roberto Santaguida,Canada,Concordia University,,,,,male,Art Souterrain,médio,Biografia institucional explicita estudos em produção cinematográfica na Concordia University.,lote_36,,
Robin Baumgarten,Germany,Imperial College London,,,,,male,site oficial do artista,médio,Página oficial informa MSc em Advanced Computing e início de PhD na Imperial College London.,lote_36,,
Rocío Cano Valiño,Argentina,Conservatoire National Supérieur Musique et Danse de Lyon (CNSMD Lyon) | Conservatoire à Rayonnement Régional de Lyon (CRR de Lyon) | Universität für Musik und darstellende Kunst Graz,,Buenos Aires,,,female,site oficial da artista,alto,"Biografia oficial explicita mestrado no CNSMD Lyon, estudos no CRR de Lyon e mobilidade acadêmica na Universität für Musik und darstellende Kunst Graz.",lote_36,,
Rodrigo Faustini,Brazil,"Universidade Estadual de Campinas (UNICAMP) | Universidade de São Paulo (USP) | Goldsmiths College, University of London",,,,,male,USP | FAPESP | Academia.edu,médio,"Fontes abertas indicam graduação em Midialogia na UNICAMP, mestrado/doutorado na USP e vínculo de ex-aluno em Goldsmiths College.",lote_36,,
Rogelio Meléndez,Mexico,,,,,,male,,,Não localizei instituição de estudo explicitada em fonte robusta aberta; fontes consultadas trazem apenas biografia profissional.,lote_36,,
Rolf van Boxmeer,Netherlands,,,,,,male,,,"Localizei tese de mestrado homônima em arquitetura, mas sem vínculo biográfico suficientemente explícito para preenchimento seguro.",lote_36,,
Romane Granger,France,ENSAD / École nationale supérieure des Arts Décoratifs,,,,,female,Animafest | Vimeo,médio,Fontes públicas indicam que Romane Granger estudou animação na ENSAD e se graduou em 2019.,lote_36,,
Ronald van der Meijs,Kingdom of the Netherlands,AKV|St.Joost Academy of Fine Arts and Design / Avans University of Applied Sciences,,Tilburg,,,male,FILE Festival,médio,Biografia do FILE explicita graduação cum laude na AKV|St.Joost Academy of Fine Arts and Design / Avans University of Applied Sciences.,lote_36,,
Rora Blue,United States,"San Francisco Art Institute | University of Nevada, Reno",,,,,female,site oficial do artista,alto,"CV e página About do artista explicitam BFA no San Francisco Art Institute e MFA na University of Nevada, Reno.",lote_36,,
Ru Kuwahata,Japan,Parsons The New School for Design,,Japan,,,female,site oficial / Parsons,alto,Obras e páginas de ex-alunos confirmam que Ru Kuwahata se formou em Parsons The New School for Design.,lote_36,,
Ruth Gibson,United Kingdom,Royal Melbourne Institute of Technology (RMIT University),,,,,female,Triarchy Press,médio,Biografia explicita doutorado no Royal Melbourne Institute of Technology.,lote_36,,
Ryan Seslow,United States,,,,,,male,,,Não localizei instituição de estudo explicitada em fontes robustas abertas consultadas.,lote_36,,
Ryoya Usuha,Japan,"Graduate School of Film and New Media, Tokyo University of the Arts",,,,,male,Tokyo TDC | FILE Festival,médio,"Fontes públicas explicitam formação no departamento de New Media da Graduate School of Film and New Media, Tokyo University of the Arts.",lote_36,,
S4RA,,,,,,,,,,"As fontes consultadas trazem biografia e afiliações de pesquisa, mas não nomeiam instituição de estudo.",lote_36,,
Saad Moosajee,United States,Rhode Island School of Design,,,,,female,The Talks | shots Awards,médio,Entrevista e perfil profissional indicam formação em art and design na Rhode Island School of Design.,lote_36,,
Sabato Visconti,Brazil,Amherst College,,São Paulo,,,male,FILE Festival,médio,Biografia do FILE explicita graduação em Ciência Política no Amherst College.,lote_36,,
Salar Niknafs,Iran,University of Wollongong,,,,,male,University of Wollongong | site oficial,alto,Teses e páginas do artista confirmam formação de pesquisa em engenharia/materiais na University of Wollongong; a prática em mídia é descrita como autodidata em entrevista.,lote_36,,
Salomé Chatriot,France,École nationale supérieure d’art de Paris-Cergy | Swiss University of Arts and Design in Lausanne,,,,,female,Reiffers Art Initiatives,médio,Biografia institucional informa que Salomé Chatriot é graduada pela École nationale supérieure d’art de Paris-Cergy e pela escola de artes e design em Lausanne.,lote_36,,
Salvatore Insana,Italy,Università degli Studi Roma Tre,,,,,male,GAI - Giovani Artisti Italiani,médio,"Biografia institucional informa frequência ao DAMS da Università degli Studi Roma Tre, concluída em 2010.",lote_36,,
Sam Twidale,England,Liverpool University,,,,,male,CCCB | FILE Festival,médio,Fontes públicas indicam estudo de popular music na Liverpool University; mantido o nome da instituição conforme a fonte consultada.,lote_36,,
Sandra Crisp,United Kingdom,Wimbledon School of Art,,,,,female,FILE Festival,médio,,lote_37,,
Sandrine Deumier,France,,,,,,female,,,"Fontes consultadas mencionam formação em artes e filosofia, mas sem nomear instituições de estudo.",lote_37,,
Sandro Miccoli,Brazil,Universidade Federal de Minas Gerais (UFMG),,,,,male,FILE Festival,médio,Biografia do FILE explicita formação em Sistemas de Informação pela UFMG.,lote_37,,
Santiago Echeverry,Colombia,New York University,,,,,male,FILE Festival,médio,A fonte explicita mestrado no programa de Interactive Telecommunications da NYU.,lote_37,,
Sara Kolster,Kingdom of the Netherlands,Design Academy Eindhoven,,Netherlands,,,female,FILE Festival,médio,Biografia do FILE informa que Sara Kolster se formou na Design Academy Eindhoven.,lote_37,,
,,Sandberg Institute,,,,,,FILE Festival,médio,Biografia do FILE informa que Sara Kolster também se formou no Sandberg Institute.,lote_37,,
Sarah Ouazzani,France,Conservatoire National de Marseille,,,,,female,In-Sonora,médio,Fonte explicita que Sarah Ouazzani estuda eletroacústica no Conservatoire National de Marseille.,lote_37,,
Saul,United Kingdom,autodidata,,,,,male,FILE Festival,médio,Biografia do duo informa que Saul é animador 3D autodidata; não há instituição nomeada.,lote_37,,
Saurabh Datta,India,,,,,,male,,,"Fontes consultadas mencionam trajetória técnica e de design, mas sem instituição de estudo nomeada.",lote_37,,
Scant Intone,Canada,,,,,,male,,,Biografias consultadas não nomeiam instituição de ensino.,lote_37,,
Sebastian Gatz,Kingdom of Denmark,"The Royal Danish Academy of Fine Arts | HDK-Valand Academy of Art and Design, University of Gothenburg | Konstfack University of Arts, Crafts and Design",,,,,male,FILE Festival / site do artista,médio,FILE o descreve como ex-aluno da Royal Danish Academy; site do artista informa doutorado em colaboração entre HDK-Valand e Konstfack.,lote_37,,
Sebastian Tedesco,Argentina,Universidad de Buenos Aires | Universidad Nacional de Tres de Febrero,,Buenos Aires,,,male,CV do artista,médio,CV seleciona graduação em Desenho Industrial na UBA e mestrado em Curadoria em Artes Visuais na UNTREF.,lote_37,,
Sergio Mantilla,Colombia,Universidad de los Andes | Fundação Armando Álvares Penteado (FAAP),,,,,male,site do artista,médio,CV do artista informa dupla formação na Universidad de los Andes e intercâmbio na FAAP.,lote_37,,
Servando Barreiro,Spain,,,,,,male,,,"Fontes citam formação em eletrônica, design de som e comunicação audiovisual, mas sem instituição nomeada.",lote_37,,
Shenuka Corea,Pakistan,New York University Abu Dhabi | School of Visual Arts,,,,,female,NYU Abu Dhabi / School of Visual Arts,alto,Fontes institucionais informam BA na NYU Abu Dhabi e MFA em Visual Narrative na School of Visual Arts.,lote_37,,
Sigrun Höllrigl,Austria,University of Vienna,,,,,female,site da artista,médio,Vita da artista informa estudos de literatura e filosofia na University of Vienna.,lote_37,,
Silvia De Gennaro,Italy,,,,,,female,,,Biografias consultadas não nomeiam instituição de estudo.,lote_37,,
